,Lycorine_A1,Lycorine_A9,Lycorine_A18,Bufalin_B3,Bufalin_B12,Bufalin_B20,DMSO_C5,DMSO_C14,DMSO_C22
ENSRNOG00000000368,58,11,27,63,24,22,95,25,32
ENSRNOG00000000373,271,209,194,176,94,220,183,123,179
ENSRNOG00000000376,0,4,4,2,4,4,7,3,5
ENSRNOG00000000378,51,57,52,38,46,61,32,46,61
ENSRNOG00000000383,2878,2712,1794,1226,1892,2712,1496,1298,2504
ENSRNOG00000000384,4,5,11,0,0,2,4,3,4
ENSRNOG00000000386,216,138,117,60,49,61,158,59,68
ENSRNOG00000000387,330,311,328,366,397,406,567,398,335
ENSRNOG00000000390,1,1,0,0,0,0,2,0,0
ENSRNOG00000000392,1658,1511,1360,918,1044,1042,1421,883,795
ENSRNOG00000000394,351,181,182,697,401,511,918,392,383
ENSRNOG00000000395,628,1004,648,347,531,549,583,503,426
ENSRNOG00000000396,3249,2424,3023,1416,1076,1341,1453,1078,1178
ENSRNOG00000000397,3610,2141,2661,2868,2104,2690,3647,1996,2268
ENSRNOG00000000398,810,958,713,589,669,797,916,750,520
ENSRNOG00000000401,0,0,0,0,0,0,0,0,0
ENSRNOG00000000405,0,4,0,0,0,2,0,0,0
ENSRNOG00000000406,417,275,412,144,113,245,223,164,193
ENSRNOG00000000407,84,103,70,139,152,176,195,145,135
ENSRNOG00000000408,758,769,674,978,1106,1101,1243,952,905
ENSRNOG00000000410,1,14,2,0,5,1,3,1,0
ENSRNOG00000000411,592,656,547,1297,1165,1295,1771,1185,1087
ENSRNOG00000000412,16,22,9,12,15,5,12,16,5
ENSRNOG00000000413,48889,51607,36007,26596,28356,27708,30067,23812,21306
ENSRNOG00000000414,318,306,224,251,195,200,266,148,178
ENSRNOG00000000415,762,620,693,484,461,507,580,396,447
ENSRNOG00000000417,1967,1878,1641,2314,1829,2431,3621,2016,2221
ENSRNOG00000000418,88,107,80,65,37,39,73,74,69
ENSRNOG00000000419,1593,3415,1305,269,1538,4345,1359,3473,1753
ENSRNOG00000000420,302,294,270,480,410,549,830,478,503
ENSRNOG00000000421,524,516,403,605,747,862,1073,705,777
ENSRNOG00000000422,151,153,127,235,273,320,533,298,279
ENSRNOG00000000423,147,124,119,85,144,177,140,171,141
ENSRNOG00000000428,10,9,5,4,3,5,1,0,1
ENSRNOG00000000431,608,679,592,1278,1395,1663,2999,1851,1680
ENSRNOG00000000432,249,218,132,120,119,99,220,137,94
ENSRNOG00000000433,19,15,6,7,10,11,11,15,7
ENSRNOG00000000435,621,819,547,402,449,543,640,527,440
ENSRNOG00000000436,16,26,28,98,50,43,58,35,43
ENSRNOG00000000437,1006,1524,901,834,1076,1162,1415,1173,1152
ENSRNOG00000000438,437,485,388,529,713,744,928,727,583
ENSRNOG00000000439,89,62,82,126,55,96,136,55,72
ENSRNOG00000000440,327,378,310,424,443,549,935,457,423
ENSRNOG00000000441,89,10,18,64,37,43,95,57,86
ENSRNOG00000000442,692,271,310,1528,1346,1990,3627,1840,2093
ENSRNOG00000000443,2031,4825,2203,1427,1883,2319,2180,2571,1811
ENSRNOG00000000446,0,0,0,0,0,0,0,0,0
ENSRNOG00000000451,92,53,21,427,356,532,369,502,416
ENSRNOG00000000454,7,5,0,6,4,2,8,5,3
ENSRNOG00000000455,5,14,14,4,6,8,8,12,7
ENSRNOG00000000456,1349,1845,1301,234,882,1112,1354,1644,704
ENSRNOG00000000457,10973,22808,12825,1692,9303,13524,6219,11964,8773
ENSRNOG00000000459,2040,2716,1490,339,929,1415,1642,1767,958
ENSRNOG00000000461,3,3,15,12,10,16,10,10,22
ENSRNOG00000000463,925,446,621,58,47,50,89,83,83
ENSRNOG00000000464,2205,1912,1781,1085,980,1169,1583,1209,1126
ENSRNOG00000000465,1050,1048,1017,1942,1784,2348,3271,2142,2074
ENSRNOG00000000466,1386,1456,1336,1019,1227,911,1263,1095,831
ENSRNOG00000000467,393,578,477,395,429,516,751,463,504
ENSRNOG00000000470,1272,1291,797,2207,1813,1992,3754,2003,1648
ENSRNOG00000000471,2,26,4,5,20,16,30,38,6
ENSRNOG00000000473,1754,1530,1524,1991,1918,2152,2658,1863,2018
ENSRNOG00000000474,2452,1344,1094,1030,904,1288,1859,1171,1164
ENSRNOG00000000476,562,629,435,867,866,1008,1169,840,851
ENSRNOG00000000477,1429,3160,1533,583,821,1233,1300,1222,822
ENSRNOG00000000478,9,55,11,5,11,18,10,28,8
ENSRNOG00000000479,42,32,43,84,66,98,95,59,58
ENSRNOG00000000480,1476,1233,919,1703,1319,1604,2585,1436,1343
ENSRNOG00000000481,926,845,775,910,974,952,1374,942,942
ENSRNOG00000000483,105,83,76,79,52,79,172,74,71
ENSRNOG00000000485,427,487,407,709,814,1206,1321,967,988
ENSRNOG00000000486,10,7,7,8,7,10,7,12,16
ENSRNOG00000000487,6371,3297,6287,5,28,98,8,57,114
ENSRNOG00000000488,1490,1727,1775,1883,1935,2546,2089,2273,2342
ENSRNOG00000000490,2028,1222,1511,2405,1777,1970,2869,1610,1880
ENSRNOG00000000491,78,86,78,48,19,29,26,7,36
ENSRNOG00000000493,467,381,343,427,475,518,702,449,500
ENSRNOG00000000495,157,61,65,196,141,177,203,147,129
ENSRNOG00000000498,1581,2489,1626,622,553,982,1029,651,701
ENSRNOG00000000499,161,41,62,26,21,19,51,14,14
ENSRNOG00000000500,21,13,13,0,5,4,11,5,2
ENSRNOG00000000501,377,478,397,353,416,450,467,386,350
ENSRNOG00000000502,37,33,21,45,28,36,46,43,33
ENSRNOG00000000503,8945,10250,9605,3515,2549,4766,4302,2452,3458
ENSRNOG00000000504,1581,540,884,228,285,263,344,305,191
ENSRNOG00000000505,3665,2031,3014,3513,2391,2843,3798,2409,2575
ENSRNOG00000000506,2833,3025,3262,597,552,670,903,525,652
ENSRNOG00000000507,472,166,244,42,19,24,28,10,32
ENSRNOG00000000508,0,0,0,0,0,0,2,0,1
ENSRNOG00000000510,7,2,0,2,0,0,0,0,0
ENSRNOG00000000511,999,870,843,1754,1427,1763,2265,1450,1667
ENSRNOG00000000512,89,417,414,75,78,96,205,98,109
ENSRNOG00000000513,2321,2589,2331,1406,1543,2002,2081,1596,1681
ENSRNOG00000000515,2,1,0,4,0,1,3,2,5
ENSRNOG00000000516,1,1,3,2,0,0,2,0,1
ENSRNOG00000000517,946,816,951,688,435,781,1076,450,513
ENSRNOG00000000519,601,552,529,1141,869,1145,2082,1013,1081
ENSRNOG00000000520,11991,9006,10356,4476,2799,3138,4091,2779,2850
ENSRNOG00000000521,9344,7384,6733,6917,4099,4052,5548,3524,4317
ENSRNOG00000000522,48,74,33,6,2,3,3,4,1
ENSRNOG00000000523,7453,4054,7023,502,639,773,860,634,779
ENSRNOG00000000524,713,997,646,933,1198,1148,1433,1065,937
ENSRNOG00000000525,132,88,117,356,239,495,507,305,363
ENSRNOG00000000527,2057,1946,1697,2345,2784,2951,3037,2815,2665
ENSRNOG00000000528,11,13,10,17,10,28,27,36,25
ENSRNOG00000000529,1913,2994,2628,756,667,862,1803,658,493
ENSRNOG00000000531,218,259,310,134,141,222,146,139,226
ENSRNOG00000000532,4463,5305,4355,1329,2076,2848,2855,2542,2303
ENSRNOG00000000536,198,147,199,77,52,68,60,25,57
ENSRNOG00000000540,417,379,327,385,397,601,579,369,562
ENSRNOG00000000541,1552,1551,1205,1289,1512,1338,1511,1291,1164
ENSRNOG00000000542,48,18,43,16,13,35,34,16,32
ENSRNOG00000000543,286,313,355,40,26,18,103,27,31
ENSRNOG00000000546,168,123,87,265,265,249,447,241,193
ENSRNOG00000000547,1,2,6,9,6,8,6,6,1
ENSRNOG00000000549,2314,2462,1905,1608,1684,1931,2042,1553,1485
ENSRNOG00000000551,6,8,1,5,7,9,3,10,6
ENSRNOG00000000552,9,7,6,10,19,31,17,8,12
ENSRNOG00000000556,0,0,0,0,0,0,0,0,0
ENSRNOG00000000557,6113,5206,5174,6333,6103,6752,8506,5907,6191
ENSRNOG00000000559,2,2,3,0,0,0,0,0,0
ENSRNOG00000000560,574,1066,416,243,318,253,228,243,241
ENSRNOG00000000561,246,162,133,170,178,260,700,220,299
ENSRNOG00000000562,14,17,9,121,134,194,346,181,141
ENSRNOG00000000563,145,182,131,54,22,22,71,33,28
ENSRNOG00000000564,1,0,2,0,0,1,4,0,1
ENSRNOG00000000565,787,883,930,976,951,1249,1393,965,986
ENSRNOG00000000566,102,120,126,100,91,94,137,86,61
ENSRNOG00000000567,2589,1802,1543,2222,1827,2354,2691,1775,2174
ENSRNOG00000000568,156,59,96,96,74,97,163,99,98
ENSRNOG00000000569,108,77,101,131,73,108,179,60,107
ENSRNOG00000000571,16072,17376,13217,16297,16002,19364,21841,16433,17692
ENSRNOG00000000572,304,240,302,64,22,34,79,34,23
ENSRNOG00000000574,4,1,2,2,0,4,1,2,4
ENSRNOG00000000576,1103,958,960,1094,986,1163,1442,977,1099
ENSRNOG00000000579,2722,3063,3805,1108,1382,1805,3882,1314,1186
ENSRNOG00000000580,4,1,0,0,0,0,1,0,0
ENSRNOG00000000581,235,323,299,350,432,480,645,424,402
ENSRNOG00000000582,48,40,34,32,21,14,36,22,9
ENSRNOG00000000583,982,623,538,825,644,807,1131,718,789
ENSRNOG00000000585,5580,3312,3792,4282,4016,4200,4487,3361,4176
ENSRNOG00000000586,373,410,302,622,598,650,959,672,607
ENSRNOG00000000587,424,400,338,818,897,999,1360,985,860
ENSRNOG00000000588,182,106,73,92,97,81,74,62,100
ENSRNOG00000000589,13,4,7,4,3,7,5,8,7
ENSRNOG00000000590,5,5,4,0,0,2,7,6,6
ENSRNOG00000000593,791,561,590,360,353,382,530,296,355
ENSRNOG00000000595,105,142,124,127,118,144,258,129,111
ENSRNOG00000000596,2776,3055,2434,2143,1808,2361,2692,1767,1978
ENSRNOG00000000597,0,0,1,3,0,0,0,0,0
ENSRNOG00000000598,42,47,24,66,67,66,104,41,58
ENSRNOG00000000599,1687,1152,1333,3140,2643,4804,7188,2810,3891
ENSRNOG00000000604,2376,2019,1918,2120,2359,2601,3068,2231,2323
ENSRNOG00000000605,84,47,60,263,73,148,364,78,98
ENSRNOG00000000606,7,6,0,1,4,1,6,5,1
ENSRNOG00000000607,2,0,0,0,0,0,0,0,0
ENSRNOG00000000609,753,624,678,793,637,764,875,642,646
ENSRNOG00000000610,5424,4470,3916,4680,4451,4425,6061,4324,4101
ENSRNOG00000000611,1218,1361,1126,473,511,680,766,526,472
ENSRNOG00000000613,1298,1275,1018,1195,1397,1372,1604,1318,1263
ENSRNOG00000000614,688,650,731,898,680,865,1260,865,892
ENSRNOG00000000618,1,1,1,1,2,5,1,1,8
ENSRNOG00000000620,0,0,0,0,0,0,0,0,0
ENSRNOG00000000622,1497,1175,1210,1409,1549,1591,2034,1438,1485
ENSRNOG00000000630,0,0,0,0,0,0,0,0,0
ENSRNOG00000000632,22,10,14,49,11,29,60,14,17
ENSRNOG00000000633,486,660,354,230,245,206,284,305,142
ENSRNOG00000000634,734,809,671,576,681,754,521,585,577
ENSRNOG00000000635,563,333,410,246,112,234,259,142,267
ENSRNOG00000000636,157,71,87,6,8,14,15,14,14
ENSRNOG00000000638,358,656,325,25,54,73,84,49,53
ENSRNOG00000000639,32,33,34,54,81,131,87,87,79
ENSRNOG00000000640,6775,4777,4449,138,56,104,109,93,111
ENSRNOG00000000641,140,308,162,145,158,190,168,151,105
ENSRNOG00000000645,1243,983,1217,1883,1274,1644,2637,1510,1731
ENSRNOG00000000648,3765,3353,3925,2206,1547,2194,1909,1470,2038
ENSRNOG00000000650,1,0,0,0,0,0,0,0,0
